Date,Open,High,Low,Close,Nasdaq Index (NI),"Dow-Jones  Industrial 
Average (DJIA)",Shanghai Composite Index (SCI),Hang Seng Index (HSI)
2006-06-20,1.25800400,1.26160700,1.25450100,1.25890700,1548.3,10974.84,1592.3,15609.0
2006-06-21,1.25900200,1.26779700,1.25900200,1.26609500,1573.6,11079.46,1598.1,15659.4
2006-06-22,1.26609500,1.26789300,1.25569800,1.25849500,1554.5,11019.11,1596.1,15826.7
2006-06-23,1.25840000,1.25879600,1.24859500,1.25239500,1551.1,10989.09,1605.7,15808.8
2006-06-26,1.25090700,1.25990600,1.25070400,1.25890700,1556.2,11045.28,1633.4,15804.8
2006-06-27,1.25919200,1.26189300,1.25670800,1.25689700,1527.0,10924.74,1639.6,15774.7
2006-06-28,1.25700800,1.25860600,1.25220700,1.25459500,1538.3,10973.56,1639.3,15742.7
2006-06-29,1.25459500,1.26699400,1.25230100,1.26640000,1585.6,11190.80,1671.6,15865.2
2006-06-30,1.26630400,1.27949200,1.26599900,1.27829800,1575.2,11150.22,1672.2,16267.6
2006-07-03,1.27890300,1.28210100,1.27650300,1.28009800,1586.3,11228.02,1697.3,16326.7
2006-07-04,1.28009800,1.28219900,1.27820000,1.27900100,#N/A,#N/A,1681.5,16369.0
2006-07-05,1.27919800,1.28364800,1.27110000,1.27339900,1553.9,11151.82,1718.6,16267.2
2006-07-06,1.27335000,1.27829800,1.27229700,1.27759600,1551.6,11225.30,1741.5,16441.0
2006-07-07,1.27769400,1.28539700,1.27689500,1.28239700,1533.7,11090.67,1730.2,16459.8
2006-07-10,1.28090200,1.28139400,1.27260500,1.27450200,1520.9,11103.55,1734.3,16603.8
2006-07-11,1.27430700,1.27790600,1.27100300,1.27674800,1533.1,11134.77,1745.8,16490.1
2006-07-12,1.27689500,1.27774300,1.26824700,1.27119700,1501.5,11013.18,1740.0,16522.2
2006-07-13,1.27150400,1.27299300,1.26710600,1.26969600,1478.2,10846.29,1655.8,16305.5
2006-07-14,1.26979300,1.26979300,1.26299300,1.26439800,1462.2,10739.35,1665.2,16135.7
2006-07-17,1.26390300,1.26409500,1.25139200,1.25179900,1468.5,10747.36,1682.9,16064.8
2006-07-18,1.25189400,1.25569800,1.24854900,1.25020300,1472.3,10799.23,1684.3,16043.9
2006-07-19,1.25020300,1.26079600,1.24660300,1.25990600,1490.6,11011.42,1645.2,16097.5
2006-07-20,1.26000100,1.26529400,1.25919200,1.26329600,1466.9,10928.10,1655.1,16472.6
2006-07-21,1.26350400,1.27069600,1.26320100,1.27060000,1451.9,10868.38,1665.3,16464.2
2006-07-24,1.27069600,1.27069600,1.26140000,1.26240300,1482.3,11051.05,1665.9,16480.6
2006-07-25,1.26224400,1.26699400,1.25670800,1.25840000,1489.5,11103.71,1685.5,16583.9
2006-07-26,1.25840000,1.27250800,1.25640800,1.27129400,1487.9,11102.51,1686.7,16617.2
2006-07-27,1.27119700,1.27689500,1.26860100,1.26959900,1478.5,11100.43,1675.2,16916.8
2006-07-28,1.26950300,1.27699200,1.26630400,1.27510400,1510.3,11219.70,1662.0,16955.0
2006-07-31,1.27650300,1.27820000,1.27460000,1.27740000,1509.4,11185.68,1612.7,16971.3
2006-08-01,1.27740000,1.28310400,1.27229700,1.28200200,1484.9,11125.73,1600.6,16911.4
2006-08-02,1.28185400,1.28349900,1.27820000,1.27919800,1500.5,11199.93,1600.9,17032.8
2006-08-03,1.27914900,1.28310400,1.27469700,1.27990200,1510.6,11242.59,1601.1,17048.4
2006-08-04,1.28000000,1.29090600,1.27800400,1.28789600,1503.8,11240.35,1570.2,16887.8
2006-08-07,1.28839400,1.28940700,1.28109900,1.28190300,1494.1,11219.38,1547.4,16953.6
2006-08-08,1.28190300,1.28849400,1.27790600,1.27669900,1484.8,11173.59,1580.6,17048.2
2006-08-09,1.27730200,1.29000600,1.27730200,1.28749800,1485.6,11076.18,1578.6,17346.6
2006-08-10,1.28725000,1.29100500,1.27529900,1.27929600,1496.3,11124.37,1606.1,17222.1
2006-08-11,1.27919800,1.28009800,1.27210300,1.27250800,1486.7,11088.03,1605.9,17249.9
2006-08-14,1.27339900,1.27619400,1.27129400,1.27229700,1494.3,11097.87,1570.7,17290.0
2006-08-15,1.27220000,1.28029500,1.27110000,1.27910000,1534.4,11230.26,1595.7,17274.1
2006-08-16,1.27890300,1.28640500,1.27749800,1.28430700,1570.1,11327.12,1616.4,17451.0
2006-08-17,1.28420800,1.28869300,1.28149300,1.28320300,1573.6,11334.96,1603.3,17373.1
2006-08-18,1.28300500,1.28445600,1.27844500,1.28280800,1576.5,11381.47,1598.0,17330.7
2006-08-21,1.28389500,1.29369500,1.28359800,1.28730000,1561.1,11345.05,1601.2,17007.9
2006-08-22,1.28720000,1.28829500,1.27875600,1.28119700,1563.4,11339.84,1613.4,17149.8
2006-08-23,1.28119700,1.28465400,1.27800400,1.27810200,1550.4,11297.90,1612.4,17088.4
2006-08-24,1.27839600,1.28389500,1.27560800,1.27619400,1555.2,11304.46,1623.0,16883.0
2006-08-25,1.27619400,1.27829800,1.27330100,1.27570500,1557.7,11284.05,1623.0,16955.4
2006-08-28,1.27609600,1.28190300,1.27570500,1.27924700,1570.3,11352.01,1650.4,16922.3
2006-08-29,1.27934500,1.28389500,1.27529900,1.28290700,1573.7,11369.94,1651.0,17083.3
2006-08-30,1.28290700,1.28490100,1.28139400,1.28409300,1581.9,11382.91,1655.2,17284.7
2006-08-31,1.28394400,1.28779700,1.27900100,1.28090200,1579.7,11381.15,1658.6,17392.3
2006-09-01,1.28090200,1.28450500,1.27599800,1.28359800,1589.5,11464.15,1636.7,17423.7
2006-09-04,1.28529800,1.28759800,1.28430700,1.28569400,#N/A,#N/A,1657.5,17513.9
2006-09-05,1.28569400,1.28650500,1.28000000,1.28239700,1603.7,11469.28,1664.1,17438.8
2006-09-06,1.28229800,1.28320300,1.27740000,1.28190300,1572.2,11406.20,1672.1,17258.5
2006-09-07,1.28210100,1.28300500,1.27105200,1.27320400,1564.8,11331.44,1661.2,17096.4
2006-09-08,1.27310700,1.27390200,1.26599900,1.26729900,1574.7,11392.11,1668.0,17145.8
2006-09-11,1.26729900,1.27359300,1.26540600,1.27100300,1583.8,11396.84,1675.0,16948.6
2006-09-12,1.27079300,1.27310700,1.26784500,1.26950300,1615.8,11498.09,1695.9,17075.4
2006-09-13,1.26910000,1.27129400,1.26710600,1.26969600,1624.0,11543.32,1689.4,17210.0
2006-09-14,1.26969600,1.27515200,1.26789300,1.27229700,1626.0,11527.39,1689.7,17183.4
2006-09-15,1.27229700,1.27370700,1.26364700,1.26510200,1632.4,11560.77,1721.0,17237.7
2006-09-18,1.26430200,1.27110000,1.26350400,1.27069600,1632.2,11555.00,1733.0,17387.2
2006-09-19,1.27090600,1.27270200,1.26529400,1.26770000,1621.1,11540.91,1735.2,17346.7
2006-09-20,1.26789300,1.27210300,1.26680100,1.26879400,1645.3,11613.19,1732.5,17513.0
2006-09-21,1.26869800,1.28000000,1.26855300,1.27810200,1634.9,11533.23,1740.9,17620.0
2006-09-22,1.27820000,1.28300500,1.27769400,1.28000000,1622.4,11508.10,1725.4,17600.7
2006-09-25,1.27929600,1.28200200,1.27359300,1.27450200,1650.4,11575.81,1722.4,17546.0
2006-09-26,1.27489200,1.27619400,1.26670500,1.26869800,1659.2,11669.39,1712.6,17308.1
2006-09-27,1.26879400,1.27140700,1.26750700,1.27060000,1655.7,11689.24,1725.0,17521.5
2006-09-28,1.27069600,1.27330100,1.26840800,1.27035700,1661.6,11718.45,1737.0,17530.6
2006-09-29,1.27064800,1.27150400,1.26439800,1.26620700,1654.1,11679.07,1752.4,17543.1
2006-10-02,1.26800600,1.27590100,1.26649600,1.27419400,1632.8,11670.35,#N/A,#N/A
2006-10-03,1.27419400,1.27660100,1.27220000,1.27349600,1640.3,11727.34,#N/A,17606.5
2006-10-04,1.27359300,1.27390200,1.26720200,1.27129400,1681.1,11850.61,#N/A,17629.2
2006-10-05,1.27150400,1.27250800,1.26765200,1.26955100,1689.4,11866.69,#N/A,17907.7
2006-10-06,1.26959900,1.26969600,1.25770300,1.26039800,1684.9,11850.21,#N/A,17903.4
2006-10-09,1.25909700,1.26140000,1.25879600,1.26009700,1691.1,11857.81,1785.4,17675.2
2006-10-10,1.26009700,1.26125700,1.25239500,1.25319600,1693.3,11867.17,1784.9,17823.7
2006-10-11,1.25319600,1.25569800,1.25059400,1.25239500,1691.3,11852.13,1790.1,17862.8
2006-10-12,1.25250500,1.25670800,1.25189400,1.25599700,1718.5,11947.70,1778.2,17873.1
2006-10-13,1.25610800,1.25789300,1.24879800,1.25050000,1727.2,11960.51,1784.7,17988.9
2006-10-16,1.25050000,1.25429600,1.24920400,1.25410700,1727.6,11980.60,1771.3,18010.2
2006-10-17,1.25399700,1.25659700,1.25200300,1.25450100,1709.6,11950.02,1763.9,18014.8
2006-10-18,1.25440600,1.25599700,1.25034400,1.25390300,1700.8,11992.68,1787.2,18048.1
2006-10-19,1.25399700,1.26399900,1.25349400,1.26270600,1706.4,12011.73,1792.3,17987.0
2006-10-20,1.26289700,1.26409500,1.26020800,1.26160700,1709.6,12002.37,1790.4,18113.6
2006-10-23,1.26119300,1.26230700,1.25395000,1.25509900,1725.9,12116.91,1759.4,18089.8
2006-10-24,1.25519300,1.25779800,1.25280300,1.25590300,1713.9,12127.88,1805.2,18153.4
2006-10-25,1.25579200,1.26200500,1.25569800,1.26160700,1726.8,12134.68,1806.6,18157.9
2006-10-26,1.26140000,1.27000200,1.26135200,1.26940600,1744.1,12163.66,1810.6,18353.7
2006-10-27,1.26924500,1.27560800,1.26665700,1.27430700,1717.6,12090.26,1807.2,18297.6
2006-10-30,1.27310700,1.27349600,1.27029300,1.27179500,1727.8,12086.50,1809.7,#N/A
2006-10-31,1.27189200,1.27829800,1.26840800,1.27669900,1732.5,12080.73,1838.0,18324.3
2006-11-01,1.27650300,1.27939400,1.27464900,1.27544500,1707.7,12031.02,1855.7,18453.7
2006-11-02,1.27549400,1.27849400,1.27409600,1.27800400,1710.2,12018.54,1851.3,18714.8
2006-11-03,1.27790600,1.27820000,1.26900300,1.27069600,1704.0,11986.04,1866.4,18749.7
2006-11-06,1.27189200,1.27339900,1.26935800,1.27255600,1732.3,12105.55,1886.3,18936.6
2006-11-07,1.27279900,1.28180500,1.27250800,1.27790600,1741.5,12156.77,1889.5,18939.3
2006-11-08,1.27790600,1.28060700,1.27529900,1.27599800,1749.8,12176.54,1866.8,18811.2
2006-11-09,1.27595000,1.28460400,1.27529900,1.28325200,1740.1,12103.30,1896.5,18952.9
2006-11-10,1.28369700,1.28940700,1.28335100,1.28539700,1751.1,12108.43,1883.3,18891.1
2006-11-13,1.28470300,1.28789600,1.27985300,1.28259400,1768.0,12131.88,1863.8,18868.5
2006-11-14,1.28190300,1.28700100,1.28000000,1.28139400,1787.2,12218.01,1888.2,18878.4
2006-11-15,1.28139400,1.28340100,1.27820000,1.28249500,1793.8,12251.71,1922.9,19093.0
2006-11-16,1.28239700,1.28349900,1.27890300,1.27939400,1802.0,12305.82,1941.5,19154.1
2006-11-17,1.27919800,1.28500000,1.27650300,1.28500000,1800.7,12342.56,1971.8,19182.7
2006-11-20,1.28210100,1.28509900,1.28080300,1.28180500,1803.8,12316.54,2017.3,18954.6
2006-11-21,1.28160800,1.28529800,1.28014700,1.28460400,1808.9,12321.59,2037.6,19008.3
2006-11-22,1.28440600,1.29560500,1.28440600,1.29389500,1819.8,12326.95,2041.4,19250.8
2006-11-23,1.28440600,1.29760600,1.28440600,1.29520300,#N/A,#N/A,2062.4,19265.3
2006-11-24,1.29520300,1.31049600,1.29500100,1.30850700,1815.5,12280.17,2050.8,19260.3
2006-11-27,1.31580700,1.31580700,1.31010100,1.31330100,1775.2,12121.71,2047.3,19204.0
2006-11-28,1.31340500,1.32100400,1.31219800,1.32039300,1780.3,12136.45,2038.7,18639.5
2006-11-29,1.32020200,1.32140500,1.31399100,1.31480300,1792.8,12226.73,2054.1,18780.9
2006-11-30,1.31480300,1.32705200,1.31470000,1.32510000,1791.3,12221.93,2099.3,18960.5
2006-12-01,1.32599600,1.33470400,1.32234900,1.33409800,1775.1,12194.13,2102.0,18690.8
2006-12-04,1.33554100,1.33554100,1.32869200,1.33360000,1799.9,12283.85,2161.6,18702.7
2006-12-05,1.33360000,1.33570200,1.32945100,1.33189500,1804.8,12331.60,2173.3,18944.2
2006-12-06,1.33180600,1.33409800,1.32620700,1.32865600,1799.1,12309.25,2156.6,19026.4
2006-12-07,1.32860400,1.33249800,1.32800400,1.32860400,1777.5,12278.41,2156.8,18843.0
2006-12-08,1.32860400,1.34300300,1.31999300,1.33940500,1786.2,12307.49,2093.6,18740.0
2006-12-11,1.31839200,1.32620700,1.31350800,1.32510000,1791.7,12328.48,2180.5,18924.7
2006-12-12,1.32510000,1.32890400,1.32259400,1.32849800,1782.0,12315.58,2219.0,18907.2
2006-12-13,1.32849800,1.32879800,1.31980100,1.32180700,1783.4,12317.50,2223.5,18718.2
2006-12-14,1.32180700,1.32490700,1.31430200,1.31565100,1803.4,12416.76,2249.1,18919.4
2006-12-15,1.31530500,1.31804400,1.30640400,1.30989500,1808.6,12445.52,2273.9,19110.7
2006-12-18,1.30845500,1.31180200,1.30560200,1.31059900,1791.0,12441.27,2332.4,19192.9
2006-12-19,1.31049600,1.32149300,1.30855800,1.32070700,1785.1,12471.32,2364.2,18964.6
2006-12-20,1.32079500,1.32450300,1.31650000,1.31870500,1777.9,12463.87,2373.2,19240.1
2006-12-21,1.31870500,1.32130100,1.31440600,1.31839200,1766.3,12421.25,2342.9,19222.8
2006-12-22,1.31839200,1.32119600,1.31140700,1.31369800,1748.6,12343.22,2343.7,19320.5
2006-12-25,1.31369800,1.31660400,1.31070200,1.31359400,#N/A,#N/A,2435.8,#N/A
2006-12-26,1.31359400,1.31430200,1.30939700,1.31099400,1753.6,12407.63,2479.7,#N/A
2006-12-27,1.31140700,1.31769700,1.31049600,1.31250800,1763.4,12510.57,2536.4,19725.7
2006-12-28,1.31250800,1.31990600,1.31090800,1.31480300,1758.9,12501.52,2567.6,20001.9
2006-12-29,1.31480300,1.32079500,1.31399100,1.31980100,1756.9,12463.15,2675.5,19964.7
2007-01-01,1.31980100,1.32199900,1.31759300,1.32189500,#N/A,#N/A,#N/A,#N/A
2007-01-02,1.32189500,1.32939800,1.32175500,1.32759800,#N/A,#N/A,#N/A,20310.2
2007-01-03,1.32759800,1.32909800,1.31554700,1.31710700,1759.4,12474.52,#N/A,20413.4
2007-01-04,1.31710700,1.31809600,1.30809600,1.30929500,1792.9,12480.69,2715.7,20025.6
2007-01-05,1.30900300,1.31039300,1.29839800,1.29849900,1785.3,12398.01,2641.3,20211.3
2007-01-08,1.30079600,1.30400200,1.29860000,1.30400200,1787.1,12423.49,2707.2,20029.7
2007-01-09,1.30369600,1.30490400,1.29915700,1.29969700,1795.6,12416.60,2807.8,19898.1
2007-01-10,1.29959600,1.30020400,1.29349400,1.29399600,1816.2,12442.16,2825.6,19568.3
2007-01-11,1.29389500,1.30059300,1.28859300,1.28950700,1834.9,12514.98,2770.1,19385.4
2007-01-12,1.28960700,1.29419700,1.28710100,1.29280800,1844.8,12556.08,2668.1,19613.4
2007-01-15,1.29289200,1.29570600,1.29190600,1.29359400,#N/A,#N/A,2794.7,20068.6
2007-01-16,1.29369500,1.29880200,1.29130600,1.29200600,1842.4,12582.59,2821.0,20027.9
2007-01-17,1.29200600,1.29500100,1.29030600,1.29399600,1827.7,12577.15,2778.9,20064.6
2007-01-18,1.29399600,1.29770700,1.29035600,1.29609200,1793.7,12567.93,2757.0,20277.5
2007-01-19,1.29619300,1.30030600,1.29190600,1.29689900,1796.8,12565.53,2832.2,20327.7
2007-01-22,1.29629400,1.29780800,1.29289200,1.29500100,1779.0,12477.16,2933.2,20772.2
2007-01-23,1.29500100,1.30439300,1.29359400,1.30230400,1773.4,12533.80,2949.1,20769.7
2007-01-24,1.30240600,1.30379800,1.29520300,1.29629400,1802.6,12621.77,2975.1,20821.1
2007-01-25,1.29649600,1.30000100,1.29190600,1.29399600,1777.8,12502.56,2857.4,20669.8
2007-01-26,1.29359400,1.29419700,1.28879300,1.29289200,1773.0,12487.02,2882.6,20281.1
2007-01-29,1.29230700,1.29639500,1.29000600,1.29629400,1775.1,12490.78,2945.3,20236.7
2007-01-30,1.29629400,1.29809400,1.29480000,1.29659600,1777.8,12523.31,2930.6,20460.5
2007-01-31,1.29659600,1.30369600,1.29289200,1.30230400,1792.3,12621.69,2786.3,20106.4
2007-02-01,1.30240600,1.30410400,1.30069500,1.30189700,1791.4,12673.68,2785.4,20430.2
2007-02-02,1.30189700,1.30495500,1.29530300,1.29639500,1798.1,12653.49,2673.2,20563.7
2007-02-05,1.29629400,1.29669700,1.29165600,1.29319300,1795.4,12661.74,2612.5,20455.6
