Date,Open,High,Low,Close,Adj Close,Momentum,Average,Range,OHLC Price
2008-11-27,1.289624,1.295706,1.286505,1.289507,1.289507,0.000117,1.2911055,0.009201,1.2903355
2008-11-28,1.289607,1.295102,1.265422,1.269793,1.269793,0.019814,1.280262,0.02968,1.279981
2008-12-01,1.267507,1.270164,1.258606,1.259906,1.259906,0.007601,1.264385,0.011558,1.26404575
2008-12-02,1.259795,1.276129,1.257024,1.271326,1.271326,-0.011531,1.2665765,0.019105,1.2660685
2008-12-03,1.270923,1.273999,1.261098,1.270793,1.270793,0.00013,1.2675485,0.012901,1.26920325
2008-12-04,1.270406,1.284208,1.256297,1.2774,1.2774,-0.006994,1.2702525,0.027911,1.27207775
2008-12-05,1.277694,1.279198,1.263807,1.271698,1.271698,0.005996,1.2715025,0.015391,1.27309925
2008-12-08,1.489891,1.496401,1.481811,1.491803,1.491803,-0.001912,1.489106,0.01459,1.4899765
2008-12-09,1.291406,1.299596,1.280902,1.292608,1.292608,-0.001202,1.290249,0.018694,1.291128
2008-12-10,1.292741,1.305193,1.290806,1.301406,1.301406,-0.008665,1.2979995,0.014387,1.2975365
2008-12-11,1.301592,1.339495,1.300864,1.332996,1.332996,-0.031404,1.3201795,0.038631,1.31873675
2008-12-12,1.332924,1.340986,1.325539,1.335399,1.335399,-0.002475,1.3332625,0.015447,1.333712
2008-12-15,1.343996,1.372194,1.343598,1.3696,1.3696,-0.025604,1.357896,0.028596,1.357347
2008-12-16,1.369619,1.413308,1.363698,1.406193,1.406193,-0.036574,1.388503,0.04961,1.3882045
2008-12-17,1.406391,1.442814,1.402289,1.440839,1.440839,-0.034448,1.4225515,0.040525,1.42308325
2008-12-18,1.440694,1.467998,1.4211,1.429307,1.429307,0.011387,1.444549,0.046898,1.43977475
2008-12-19,1.429204,1.430697,1.382992,1.392603,1.392603,0.036601,1.4068445,0.047705,1.408874
2008-12-22,1.397995,1.411393,1.391595,1.395907,1.395907,0.002088,1.401494,0.019798,1.3992225
2008-12-23,1.39579,1.401994,1.391905,1.393787,1.393787,0.002003,1.3969495,0.010089,1.395869
2008-12-24,1.394097,1.401797,1.393903,1.400894,1.400894,-0.006797,1.39785,0.007894,1.39767275
2008-12-25,1.400697,1.414007,1.398406,1.401502,1.401502,-0.000805,1.4062065,0.015601,1.403653
2008-12-26,1.401601,1.411293,1.399482,1.402702,1.402702,-0.001101,1.4053875,0.011811,1.4037695
2008-12-29,1.410596,1.435998,1.392506,1.403903,1.403903,0.006693,1.414252,0.043492,1.41075075
2008-12-30,1.403548,1.42201,1.400207,1.414007,1.414007,-0.010459,1.4111085,0.021803,1.409943
2008-12-31,1.413607,1.414507,1.385502,1.397995,1.397995,0.015612,1.4000045,0.029005,1.40290275
2009-01-01,1.397995,1.405402,1.395498,1.399894,1.399894,-0.001899,1.40045,0.009904,1.39969725
2009-01-02,1.400266,1.402308,1.384294,1.392292,1.392292,0.007974,1.393301,0.018014,1.39479
2009-01-05,1.39579,1.39579,1.355601,1.364592,1.364592,0.031198,1.3756955,0.040189,1.37794325
2009-01-06,1.363178,1.363178,1.331806,1.351004,1.351004,0.012174,1.347492,0.031372,1.3522915
2009-01-07,1.349947,1.374193,1.343725,1.3611,1.3611,-0.011153,1.358959,0.030468,1.35724125
2009-01-08,1.361341,1.378436,1.353803,1.369901,1.369901,-0.00856,1.3661195,0.024633,1.36587025
2009-01-09,1.369976,1.372476,1.341904,1.345497,1.345497,0.024479,1.35719,0.030572,1.35746325
2009-01-12,1.342696,1.344393,1.330495,1.336005,1.336005,0.006691,1.337444,0.013898,1.33839725
2009-01-13,1.336005,1.336005,1.315703,1.320202,1.320202,0.015803,1.325854,0.020302,1.32697875
2009-01-14,1.320707,1.332694,1.310204,1.321702,1.321702,-0.000995,1.321449,0.02249,1.32132675
2009-01-15,1.320498,1.322996,1.304308,1.315807,1.315807,0.004691,1.313652,0.018688,1.31590225
2009-01-16,1.316205,1.333387,1.314994,1.329204,1.329204,-0.012999,1.3241905,0.018393,1.3234475
2009-01-19,1.335791,1.337632,1.306165,1.309397,1.309397,0.026394,1.3218985,0.031467,1.32224625
2009-01-20,1.309792,1.309929,1.285413,1.288494,1.288494,0.021298,1.297671,0.024516,1.298407
2009-01-21,1.288593,1.307053,1.285099,1.300508,1.300508,-0.011915,1.296076,0.021954,1.29531325
2009-01-22,1.298904,1.307292,1.292006,1.300678,1.300678,-0.001774,1.299649,0.015286,1.29972
2009-01-23,1.300644,1.301524,1.277596,1.296496,1.296496,0.004148,1.28956,0.023928,1.294065
2009-01-26,1.290206,1.323399,1.286604,1.319192,1.319192,-0.028986,1.3050015,0.036795,1.30485025
2009-01-27,1.318844,1.331505,1.313094,1.321598,1.321598,-0.002754,1.3222995,0.018411,1.32126025
2009-01-28,1.322017,1.331203,1.310805,1.315322,1.315322,0.006695,1.321004,0.020398,1.31983675
2009-01-29,1.315097,1.316881,1.292207,1.293795,1.293795,0.021302,1.304544,0.024674,1.304495
2009-01-30,1.293895,1.293895,1.2782,1.283697,1.283697,0.010198,1.2860475,0.015695,1.28742175
2009-02-02,1.275396,1.289308,1.271003,1.281493,1.281493,-0.006097,1.2801555,0.018305,1.2793
2009-02-03,1.281197,1.305108,1.280524,1.301287,1.301287,-0.02009,1.292816,0.024584,1.292029
2009-02-04,1.301406,1.306728,1.282298,1.285562,1.285562,0.015844,1.294513,0.02443,1.2939985
2009-02-05,1.285694,1.289807,1.277498,1.279116,1.279116,0.006578,1.2836525,0.012309,1.28302875
2009-02-06,1.279034,1.298786,1.275705,1.292708,1.292708,-0.013674,1.2872455,0.023081,1.28655825
2009-02-09,1.296092,1.308404,1.288593,1.295908,1.295908,0.000184,1.2984985,0.019811,1.29724925
2009-02-10,1.296798,1.305006,1.281296,1.291406,1.291406,0.005392,1.293151,0.02371,1.2936265
2009-02-11,1.291806,1.299073,1.283878,1.286803,1.286803,0.005003,1.2914755,0.015195,1.29039
2009-02-12,1.286604,1.293778,1.273107,1.289092,1.289092,-0.002488,1.2834425,0.020671,1.28564525
2009-02-13,1.288593,1.294197,1.282594,1.286604,1.286604,0.001989,1.2883955,0.011603,1.287997
2009-02-16,1.279394,1.282002,1.273204,1.279902,1.279902,-0.000508,1.277603,0.008798,1.2786255
2009-02-17,1.279361,1.279361,1.256597,1.258194,1.258194,0.021167,1.267979,0.022764,1.26837825
2009-02-18,1.259604,1.263408,1.252176,1.256897,1.256897,0.002707,1.257792,0.011232,1.25802125
2009-02-19,1.25666,1.275494,1.256108,1.265903,1.265903,-0.009243,1.265801,0.019386,1.26354125
2009-02-20,1.265935,1.293293,1.256408,1.293293,1.293293,-0.027358,1.2748505,0.036885,1.27723225
2009-02-23,1.2791,1.298499,1.269487,1.267813,1.267813,0.011287,1.283993,0.029012,1.27872475
2009-02-24,1.267507,1.287697,1.266897,1.287399,1.287399,-0.019892,1.277297,0.0208,1.277375
2009-02-25,1.286604,1.289607,1.269599,1.272426,1.272426,0.014178,1.279603,0.020008,1.279559
2009-02-26,1.271989,1.280607,1.269503,1.272054,1.272054,-0.000065,1.275055,0.011104,1.27353825
2009-02-27,1.272103,1.274892,1.2614,1.267893,1.267893,0.00421,1.268146,0.013492,1.269072
2009-03-02,1.259827,1.262594,1.254595,1.256408,1.256408,0.003419,1.2585945,0.007999,1.258356
2009-03-03,1.256202,1.267218,1.253007,1.25318,1.25318,0.003022,1.2601125,0.014211,1.25740175
2009-03-04,1.253196,1.2664,1.246898,1.263807,1.263807,-0.010611,1.256649,0.019502,1.25757525
2009-03-05,1.262961,1.263807,1.248502,1.254674,1.254674,0.008287,1.2561545,0.015305,1.257486
2009-03-06,1.2548,1.274096,1.254595,1.263807,1.263807,-0.009007,1.2643455,0.019501,1.2618245
2009-03-09,1.271698,1.272394,1.255997,1.262276,1.262276,0.009422,1.2641955,0.016397,1.26559125
2009-03-10,1.262196,1.281805,1.262196,1.271666,1.271666,-0.00947,1.2720005,0.019609,1.26946575
2009-03-11,1.271537,1.286306,1.263201,1.280672,1.280672,-0.009135,1.2747535,0.023105,1.275429
2009-03-12,1.280623,1.294197,1.273593,1.28989,1.28989,-0.009267,1.283895,0.020604,1.28457575
2009-03-13,1.290006,1.295437,1.287101,1.292992,1.292992,-0.002986,1.291269,0.008336,1.291384
2009-03-16,1.288627,1.306694,1.2872,1.297606,1.297606,-0.008979,1.296947,0.019494,1.29503175
2009-03-17,1.296983,1.304002,1.293594,1.303322,1.303322,-0.006339,1.298798,0.010408,1.29947525
2009-03-18,1.303407,1.352997,1.299292,1.348399,1.348399,-0.044992,1.3261445,0.053705,1.32602375
2009-03-19,1.348909,1.373193,1.342408,1.366195,1.366195,-0.017286,1.3578005,0.030785,1.35767625
2009-03-20,1.3664,1.3721,1.353107,1.358197,1.358197,0.008203,1.3626035,0.018993,1.362451
2009-03-23,1.362825,1.372891,1.350621,1.362045,1.362045,0.00078,1.361756,0.02227,1.3620955
2009-03-24,1.361693,1.367877,1.34414,1.348127,1.348127,0.013566,1.3560085,0.023737,1.35545925
2009-03-25,1.3486,1.361507,1.342895,1.3577,1.3577,-0.0091,1.352201,0.018612,1.3526755
2009-03-26,1.3577,1.363494,1.350804,1.35307,1.35307,0.00463,1.357149,0.01269,1.356267
2009-03-27,1.352997,1.358991,1.326893,1.329204,1.329204,0.023793,1.342942,0.032098,1.34202125
2009-03-30,1.326401,1.328498,1.312405,1.318618,1.318618,0.007783,1.3204515,0.016093,1.3214805
2009-03-31,1.318496,1.333707,1.3182,1.324696,1.324696,-0.0062,1.3259535,0.015507,1.32377475
2009-04-01,1.324503,1.327898,1.317593,1.3241,1.3241,0.000403,1.3227455,0.010305,1.3235235
2009-04-02,1.324205,1.350694,1.323995,1.346692,1.346692,-0.022487,1.3373445,0.026699,1.3363965
2009-04-03,1.346602,1.3494,1.337596,1.348909,1.348909,-0.002307,1.343498,0.011804,1.34562675
